No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,Dividend,Payout Ratio,EPS,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,EPS Q/Q,Sales Q/Q,Outstanding,Float,Insider Own,Insider Trans,Inst Own,Inst Trans,Float Short,Short Ratio,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Oper M,Profit M,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Beta,ATR,Volatility W,Volatility M,SMA20,SMA50,SMA200,50D High,50D Low,52W High,52W Low,RSI,from Open,Gap,Recom,Avg Volume,Rel Volume,Price,Change,Volume,Earnings
724,BLUE,"bluebird bio, Inc.",Healthcare,Biotechnology,USA,9.62B,-,-,-,293.34,8.30,13.20,-,-,-,-7.01,-46.90%,-4.00%,47.20%,-,47.50%,16.60%,381.30%,46.38M,45.64M,0.70%,-55.31%,-,0.00%,8.33%,3.93,-22.90%,-28.80%,-27.00%,9.90,9.90,0.14,0.14,-,-,-,18.37%,11.92%,47.81%,109.97%,206.88%,16.48%,2.06,8.88,6.70%,4.69%,16.63%,19.62%,66.95%,-6.57%,43.07%,-6.57%,220.88%,69.77,2.44%,1.15%,2.10,967.58K,1.44,207.45,3.62%,"1,395,426",Jan 31/a
725,BLV,Vanguard Long-Term Bond ETF,Financial,Exchange Traded Fund,USA,-,-,-,-,-,-,-,-,3.64%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.12,-,-,-,-,-,-,-,-,-,-,-1.13%,-1.02%,-0.45%,0.29%,3.79%,-2.08%,-,0.64,0.42%,0.55%,-1.05%,-1.23%,-0.24%,-3.00%,0.43%,-3.00%,6.56%,39.77,0.03%,-0.47%,-,170.70K,0.79,93.10,-0.44%,"134,703",-
726,BLW,BlackRock Limited Duration Income Trust,Financial,Closed-End Fund - Debt,USA,-,-,-,-,-,-,-,-,-,-,-,-,-,0.00%,-,-,-,-,-,-,-,-,-,0.40%,-,0.33,-,-,-,-,-,-,-,-,-,-,0.19%,1.20%,-1.42%,0.88%,2.30%,0.69%,-,0.12,0.65%,0.81%,0.24%,0.69%,0.84%,-1.78%,3.16%,-1.84%,5.26%,54.73,0.13%,0.19%,-,96.66K,1.26,16.00,0.31%,"121,627",-
727,BLX,"Banco Latinoamericano de Comercio Exterior, S.A",Financial,Foreign Money Center Banks,Panama,1.18B,15.91,12.19,1.88,5.11,1.15,1.43,1.20,5.09%,80.90%,1.90,-16.50%,17.54%,-0.30%,8.47%,9.30%,-27.30%,-12.30%,39.19M,30.50M,24.80%,0.00%,51.30%,12.14%,1.70%,4.59,1.10%,7.30%,4.30%,-,-,1.32,1.32,-,44.50%,32.30%,0.63%,8.51%,5.04%,13.82%,8.82%,12.38%,1.65,0.63,1.48%,1.91%,5.09%,4.41%,7.68%,-0.72%,12.80%,-0.72%,18.50%,62.67,-0.13%,0.70%,2.70,112.72K,0.55,30.23,0.57%,"61,635",Feb 16/b
728,BMA,Banco Macro S.A.,Financial,Foreign Regional Banks,Argentina,7.45B,16.39,10.72,3.41,4.25,3.51,2.94,-,1.40%,0.00%,6.58,30.60%,22.58%,41.00%,4.80%,43.80%,34.40%,29.20%,69.08M,44.95M,40.90%,0.00%,33.10%,-0.47%,0.46%,0.67,4.50%,26.50%,36.70%,-,-,0.31,0.31,-,56.30%,24.40%,-7.07%,-7.60%,-20.35%,21.67%,37.54%,-6.89%,1.33,2.74,3.17%,2.13%,-6.01%,-3.46%,5.77%,-12.72%,16.85%,-20.72%,47.75%,38.98,0.12%,0.26%,2.50,312.02K,1.55,107.90,0.38%,"482,105",Feb 14/a
729,BMCH,"BMC Stock Holdings, Inc.",Industrial Goods,General Building Materials,USA,1.57B,31.30,15.91,1.17,0.48,2.15,129.37,55.91,-,0.00%,0.75,495.90%,40.75%,17.30%,26.80%,32.40%,98.60%,7.30%,67.04M,65.41M,0.90%,-,-,0.07%,4.58%,4.57,3.40%,7.20%,5.40%,2.30,1.30,0.57,0.58,23.80%,3.00%,1.50%,-3.11%,-4.89%,8.35%,6.62%,24.87%,-7.71%,1.36,0.52,1.73%,2.18%,-4.45%,-1.16%,6.80%,-9.14%,9.11%,-9.14%,30.81%,39.52,-1.06%,0.64%,1.90,655.03K,0.54,23.35,-0.43%,"351,393",Feb 28/b
730,BME,BlackRock Health Sciences Trust,Financial,Closed-End Fund - Equity,USA,319.11M,8.57,-,-,91.54,1.05,-,-,-,-,4.31,-,-,-,-,-,-,7.70%,8.65M,-,0.02%,-,22.84%,-,-,0.70,-,-,-,-,-,-,-,-,-,-,0.79%,1.82%,1.43%,-0.86%,13.50%,1.10%,-,0.32,0.52%,0.85%,1.01%,2.21%,2.68%,-0.38%,6.94%,-2.89%,14.28%,62.36,-0.32%,0.33%,-,27.25K,2.24,36.90,0.00%,"60,942",-
731,BMI,"Badger Meter, Inc.",Technology,Scientific & Technical Instruments,USA,1.41B,42.52,35.10,2.67,3.54,5.16,105.50,41.83,1.06%,41.10%,1.15,23.80%,17.85%,11.80%,15.90%,8.40%,-9.50%,3.80%,28.91M,28.37M,1.30%,-21.13%,86.10%,0.52%,4.70%,10.91,9.10%,12.60%,11.30%,1.80,0.90,0.00,0.16,37.70%,12.90%,8.40%,-2.49%,1.88%,11.01%,7.71%,28.35%,2.30%,0.66,0.89,1.64%,1.71%,1.29%,4.48%,11.81%,-3.46%,12.48%,-6.14%,42.15%,56.60,-2.30%,0.30%,2.70,122.08K,0.97,48.90,-2.00%,"119,007",Feb 06/b
732,BMLP,BMO Elkhorn DWA MLP Select ETN,Financial,Exchange Traded Fund,USA,-,-,-,-,-,-,-,-,6.85%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.18,-,-,-,-,-,-,-,-,-,-,0.81%,11.13%,-0.05%,-,-,9.23%,-,0.66,0.35%,0.63%,5.36%,8.86%,4.00%,-2.23%,15.08%,-8.64%,15.08%,69.22,-0.03%,-0.15%,-,0.90K,0.53,52.13,-0.19%,480,-
733,BMO,Bank of Montreal,Financial,Money Center Banks,Canada,54.51B,13.18,11.61,2.96,4.27,1.69,0.28,113.37,3.48%,44.30%,6.38,14.40%,6.12%,5.40%,4.45%,2.80%,-10.40%,12.80%,648.05M,647.49M,0.10%,0.00%,54.10%,0.15%,0.40%,7.72,0.70%,13.10%,17.60%,-,-,0.13,0.13,-,58.30%,32.60%,1.14%,5.96%,7.53%,9.32%,11.46%,5.11%,1.06,0.82,1.12%,0.89%,3.08%,5.88%,12.10%,-0.71%,10.21%,-0.71%,26.01%,82.94,-0.39%,0.56%,2.80,334.27K,1.23,84.11,0.17%,"409,803",Dec 05/b
734,BMRA,"Biomerica, Inc.",Healthcare,Medical Instruments & Supplies,USA,36.58M,-,-,-,6.10,8.94,45.73,-,-,-,-0.13,44.50%,-47.40%,-27.80%,-,-1.00%,-27.20%,14.30%,8.71M,5.94M,30.16%,0.00%,1.70%,97.24%,0.09%,0.06,-22.20%,-25.60%,-21.20%,5.10,2.80,0.00,0.00,31.80%,-21.50%,-18.70%,-3.89%,3.70%,49.47%,60.31%,81.03%,12.30%,-0.77,0.52,10.03%,11.16%,-1.40%,8.13%,41.92%,-54.94%,35.92%,-54.94%,117.62%,50.60,9.92%,0.29%,2.00,92.09K,1.54,4.20,10.24%,"141,364",Jan 16/b
735,BMRC,Bank of Marin Bancorp,Financial,Regional - Pacific Banks,USA,425.81M,21.05,19.21,1.91,5.72,1.75,2.86,24.61,1.65%,32.70%,3.33,24.40%,12.89%,5.50%,11.00%,1.80%,-27.20%,-3.00%,6.07M,5.45M,1.10%,5.83%,46.80%,1.14%,0.92%,2.11,1.00%,8.60%,26.10%,-,-,0.02,0.02,-,98.10%,27.60%,-1.06%,0.57%,-0.99%,10.65%,-0.21%,3.16%,0.77,2.45,6.19%,3.45%,1.06%,1.42%,6.15%,-9.95%,9.78%,-9.95%,18.80%,52.53,0.07%,0.36%,3.00,23.76K,0.98,70.15,0.43%,"23,360",Jan 22/b
736,BMRN,BioMarin Pharmaceutical Inc.,Healthcare,Biotechnology,USA,16.15B,-,-,-,12.87,5.68,12.85,-,-,-,-0.84,-253.70%,63.10%,-51.20%,25.00%,20.40%,67.90%,19.40%,176.92M,174.97M,0.40%,-11.44%,-,0.00%,5.51%,7.57,-3.50%,-5.20%,-17.50%,4.90,3.80,0.41,0.41,81.70%,-12.90%,-11.50%,1.84%,-0.28%,5.59%,3.00%,8.24%,2.38%,1.73,2.10,2.16%,2.27%,1.18%,4.94%,2.67%,-2.61%,13.97%,-9.17%,13.97%,57.08,-1.72%,0.54%,1.80,1.27M,1.14,91.29,-1.19%,"1,447,026",Feb 22/a
737,BMS,"Bemis Company, Inc.",Consumer Goods,Packaging & Containers,USA,4.23B,22.08,17.29,4.33,1.05,3.32,94.66,76.66,2.58%,56.20%,2.11,0.50%,13.82%,7.50%,5.10%,-5.50%,-15.60%,0.80%,90.90M,89.75M,0.40%,0.00%,79.40%,-0.13%,2.60%,3.83,5.10%,15.40%,10.50%,1.80,0.90,1.20,1.22,20.00%,8.60%,4.80%,-0.15%,-1.36%,-0.21%,0.71%,-9.12%,-2.59%,0.86,0.64,1.37%,1.32%,-2.07%,-0.41%,1.84%,-6.15%,8.63%,-10.45%,14.66%,43.62,-0.15%,0.32%,2.90,609.69K,0.69,46.55,0.17%,"421,403",Feb 01/b
738,BMTC,Bryn Mawr Bank Corporation,Financial,Regional - Mid-Atlantic Banks,USA,765.09M,20.33,15.51,2.90,6.14,1.93,10.17,19.92,1.93%,37.30%,2.25,124.30%,21.15%,6.60%,7.00%,9.40%,13.40%,12.50%,16.76M,16.71M,1.70%,-5.56%,83.10%,0.29%,0.71%,2.40,1.10%,9.90%,20.40%,-,-,0.07,0.07,-,87.50%,31.00%,-1.40%,0.22%,3.99%,3.05%,12.16%,3.28%,0.60,0.89,1.91%,1.82%,0.92%,2.61%,6.94%,-2.67%,10.27%,-2.67%,24.05%,53.80,-1.72%,0.22%,2.40,49.24K,0.72,45.65,-1.51%,"35,445",Jan 29/a
739,BMY,Bristol-Myers Squibb Company,Healthcare,Drug Manufacturers - Major,USA,104.50B,25.08,19.83,2.33,5.08,7.07,14.67,63.41,2.51%,60.70%,2.54,184.60%,7.27%,4.20%,10.75%,-1.80%,-28.20%,6.70%,1.64B,1.63B,0.10%,-8.96%,71.40%,0.05%,0.49%,1.40,12.60%,28.20%,19.80%,1.60,1.50,0.47,0.57,72.60%,27.30%,20.60%,3.09%,3.67%,0.02%,13.96%,30.23%,4.05%,1.08,1.07,1.55%,1.55%,3.10%,3.00%,8.41%,-0.33%,7.30%,-3.54%,38.58%,62.10,0.08%,0.44%,2.40,5.69M,1.14,63.76,0.52%,"6,478,444",Feb 05/b
740,BNCL,"Beneficial Bancorp, Inc.",Financial,Regional - Northeast Banks,USA,1.24B,35.39,27.21,3.54,6.48,1.13,2.48,18.97,1.45%,49.40%,0.47,17.60%,22.00%,21.20%,10.00%,-0.70%,-7.90%,7.40%,74.87M,67.57M,2.50%,0.00%,71.50%,0.04%,2.45%,10.53,0.60%,3.30%,13.20%,-,-,0.02,0.02,-,84.90%,17.90%,-2.06%,-0.90%,-3.77%,4.08%,-5.95%,0.91%,0.56,0.37,2.05%,2.08%,-0.78%,0.28%,4.83%,-5.14%,8.85%,-9.04%,16.08%,48.37,-1.48%,0.60%,2.30,157.37K,1.78,16.60,-0.90%,"279,345",Feb 01/b
741,BND,Vanguard Total Bond Market ETF,Financial,Exchange Traded Fund,USA,-,-,-,-,-,-,-,-,2.50%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.50,-,-,-,-,-,-,-,-,-,-,-0.33%,-0.69%,-1.21%,-1.20%,-0.18%,-1.03%,-,0.19,0.16%,0.19%,-0.51%,-0.85%,-1.21%,-1.44%,0.15%,-2.35%,0.93%,33.29,0.01%,-0.12%,-,2.28M,0.75,80.73,-0.11%,"1,709,710",-
742,BNDC,FlexShares Core Select Bond ETF,Financial,Exchange Traded Fund,USA,-,-,-,-,-,-,-,-,2.50%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.48%,-1.27%,-1.23%,-,-,-0.88%,-,0.09,0.18%,0.16%,-0.49%,-1.03%,-0.91%,-12.91%,0.32%,-12.91%,1.20%,47.03,0.00%,-0.08%,-,10.33K,0.79,24.83,-0.08%,"8,185",-
743,BNDX,Vanguard Total International Bond ETF,Financial,Exchange Traded Fund,USA,-,-,-,-,-,-,-,-,2.23%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.69,-,-,-,-,-,-,-,-,-,-,0.02%,-1.40%,-0.90%,-0.22%,0.54%,-0.29%,-,0.11,0.11%,0.15%,-0.18%,-1.00%,-0.76%,-1.94%,0.17%,-1.94%,1.21%,33.15,-0.04%,-0.09%,-,1.33M,0.73,54.21,-0.13%,"972,138",-
744,BNED,"Barnes & Noble Education, Inc.",Services,"Specialty Retail, Other",USA,330.89M,19.76,12.46,0.99,0.16,0.47,18.91,6.79,-,0.00%,0.37,185.70%,46.25%,-31.40%,20.00%,1.50%,63.80%,15.10%,45.39M,35.62M,7.60%,-,64.50%,-6.81%,3.39%,2.27,1.20%,2.50%,1.00%,1.20,0.30,0.06,0.06,24.70%,1.80%,0.80%,-1.22%,-14.24%,11.30%,-2.80%,-31.29%,-11.53%,-,0.32,3.63%,3.63%,-7.36%,1.54%,-7.19%,-19.89%,46.09%,-35.49%,46.09%,45.55,-3.57%,0.40%,2.50,531.10K,0.33,7.29,-3.19%,"174,250",Dec 05/b
745,BNFT,"Benefitfocus, Inc.",Technology,Application Software,USA,771.88M,-,2290.91,-,3.06,-,14.14,-,-,-,-0.85,38.20%,103.70%,-17.10%,20.00%,27.70%,26.20%,7.80%,30.63M,22.56M,10.00%,1.22%,88.40%,0.16%,20.16%,26.05,-14.90%,74.40%,-47.70%,1.10,1.10,-,-,51.10%,-5.90%,-10.30%,0.20%,-6.84%,-13.85%,-29.51%,-20.00%,-6.67%,1.01,0.73,2.27%,2.90%,-3.67%,-4.24%,-16.88%,-9.84%,2.86%,-32.08%,13.00%,40.44,-1.95%,0.39%,2.00,174.58K,1.01,25.20,-1.56%,"175,747",Feb 22/a
746,BNJ,BlackRock New Jersey Municipal Income Trust,Financial,Closed-End Fund - Debt,USA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-1.07%,-,0.44,-,-,-,-,-,-,-,-,-,-,-1.08%,-1.47%,-6.63%,-6.95%,1.39%,-2.32%,-,0.13,0.86%,0.74%,-1.43%,-3.63%,-4.54%,-6.96%,1.38%,-10.07%,3.83%,37.72,0.07%,-0.20%,5.00,14.74K,0.47,14.70,-0.14%,"6,854",-
747,BNO,United States Brent Oil,Financial,Exchange Traded Fund,USA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.72,-,-,-,-,-,-,-,-,-,-,2.18%,10.07%,25.02%,44.50%,26.16%,6.30%,-,0.23,1.15%,1.12%,4.04%,9.42%,28.60%,0.84%,16.75%,0.84%,61.95%,75.68,1.42%,-0.52%,-,197.23K,0.30,19.24,0.89%,"59,051",-
748,BNS,The Bank of Nova Scotia,Financial,Money Center Banks,Canada,79.80B,12.69,11.09,2.17,4.14,1.78,0.34,-,3.81%,46.60%,5.23,12.50%,7.98%,4.60%,5.86%,6.90%,4.60%,9.60%,1.20B,1.20B,0.02%,0.00%,65.50%,7.86%,0.49%,10.71,0.90%,14.50%,17.50%,-,-,0.11,0.11,-,53.40%,32.90%,1.04%,2.61%,3.24%,6.26%,12.00%,2.82%,1.28,0.62,0.81%,0.87%,1.23%,1.88%,7.37%,-0.64%,4.95%,-0.64%,23.19%,59.09,-0.14%,0.61%,1.80,552.30K,1.17,66.35,0.47%,"647,096",Feb 27/b
749,BNSO,Bonso Electronics International Inc.,Industrial Goods,Industrial Electrical Equipment,Hong Kong,16.72M,6.77,-,-,0.96,1.17,-,-,-,0.00%,0.52,-5.30%,-,38.30%,-,-8.10%,28.20%,-49.30%,4.71M,1.52M,53.50%,0.00%,2.80%,-,1.24%,0.49,12.40%,19.20%,15.80%,1.50,1.30,0.01,0.04,38.70%,18.30%,16.00%,18.73%,43.15%,44.90%,31.97%,48.54%,44.90%,1.41,0.17,7.57%,5.56%,23.25%,33.04%,41.22%,-1.39%,64.35%,-1.39%,81.11%,79.60,-1.39%,0.56%,-,38.31K,0.74,3.55,-0.84%,"28,239",-
750,BNTC,Benitec Biopharma Limited,Healthcare,Biotechnology,Australia,718.99M,-,-,-,145.80,2.40,-,-,-,-,-0.82,-,-,-,-,-,-,-84.80%,205.14M,6.20M,-,-,0.44%,-,1.55%,2.01,-,-,-,-,-,-,-,-,-,-,-6.79%,22.98%,41.89%,47.86%,93.64%,18.41%,-,0.28,9.09%,7.91%,6.83%,16.28%,40.66%,-16.53%,38.52%,-36.04%,126.12%,55.82,3.69%,0.00%,3.00,47.91K,1.04,3.50,3.69%,"49,827",-
751,BNY,BlackRock New York Municipal Income Trust,Financial,Closed-End Fund - Debt,USA,-,-,-,-,-,-,-,-,-,-,-,-,-,0.00%,-,-,-,-,-,-,-,-,-,-3.06%,-,0.36,-,-,-,-,-,-,-,-,-,-,-0.50%,-4.35%,-7.53%,-9.05%,-2.38%,-3.15%,-,0.11,0.49%,0.75%,-1.93%,-4.41%,-6.66%,-7.90%,-0.07%,-10.63%,-0.07%,24.29,-0.36%,-0.29%,-,29.46K,0.61,13.85,-0.65%,"17,849",-
752,BOCH,Bank of Commerce Holdings,Financial,Regional - Mid-Atlantic Banks,USA,184.29M,17.31,12.03,2.47,4.15,1.44,2.15,14.40,1.05%,18.10%,0.66,76.90%,21.79%,12.50%,7.00%,-,0.30%,14.60%,16.13M,15.40M,5.38%,0.00%,53.40%,0.08%,0.84%,3.18,0.80%,8.20%,-,-,-,0.08,0.08,-,85.60%,20.50%,0.22%,-1.51%,3.39%,6.28%,20.90%,-0.65%,0.39,0.22,1.44%,1.76%,0.34%,-1.51%,2.78%,-7.11%,3.86%,-7.86%,22.35%,48.40,-1.08%,0.43%,2.50,40.70K,0.71,11.43,-0.65%,"29,069",Jan 19
753,BOE,BlackRock Enhanced Global Dividend Trust,Financial,Closed-End Fund - Foreign,USA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-4.88%,-,0.52,-,-,-,-,-,-,-,-,-,-,0.47%,3.46%,17.09%,17.18%,32.86%,2.64%,-,0.16,0.88%,0.99%,0.54%,9.31%,17.31%,-1.83%,22.66%,-1.83%,33.97%,65.60,-0.62%,0.00%,-,297.54K,1.39,12.84,-0.62%,"412,555",-
754,BOFI,"BofI Holding, Inc.",Financial,Savings & Loans,USA,2.08B,15.75,10.69,1.57,5.15,2.49,2.99,10.35,-,0.00%,2.09,12.00%,24.74%,28.80%,10.00%,27.30%,11.30%,18.30%,63.07M,55.87M,4.20%,-0.97%,88.90%,0.22%,33.11%,29.75,1.60%,17.10%,23.30%,-,-,0.06,0.06,-,77.80%,34.20%,1.20%,12.01%,19.31%,28.28%,21.60%,10.13%,0.30,0.73,2.34%,2.25%,6.54%,15.61%,26.13%,-1.17%,36.07%,-1.17%,52.45%,75.41,-1.58%,0.48%,1.60,621.75K,1.76,32.93,-1.11%,"1,094,699",Jan 30/a
755,BOH,Bank of Hawaii Corporation,Financial,Regional - Pacific Banks,USA,3.64B,19.84,16.19,2.20,7.44,2.96,4.11,26.64,2.41%,45.70%,4.34,14.40%,20.99%,4.50%,9.00%,0.80%,6.00%,13.00%,42.25M,41.82M,0.10%,-14.53%,77.40%,-,6.43%,13.51,1.10%,15.40%,28.40%,-,-,0.01,0.01,-,87.90%,37.90%,-0.70%,-1.60%,2.93%,1.00%,-2.25%,0.51%,0.88,1.58,2.05%,1.65%,-0.46%,1.95%,5.00%,-3.31%,10.85%,-3.63%,15.28%,52.83,-0.10%,0.34%,3.00,199.12K,1.40,86.14,0.23%,"278,970",Jan 22/b
756,BOIL,ProShares Ultra Bloomberg Natural Gas,Financial,Exchange Traded Fund,USA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.61,-,-,-,-,-,-,-,-,-,-,1.57%,38.79%,-15.54%,-21.24%,-52.05%,9.54%,-,0.44,5.73%,5.73%,11.98%,6.63%,-20.33%,-18.16%,40.78%,-56.87%,40.78%,57.82,-2.60%,0.97%,-,1.15M,1.16,7.12,-1.66%,"1,327,256",-
757,BOJA,"Bojangles', Inc.",Services,Restaurants,USA,441.29M,14.09,15.94,7.41,0.82,1.88,24.93,10.82,-,0.00%,0.86,41.40%,-3.44%,50.90%,1.90%,12.10%,-32.10%,0.20%,36.47M,36.39M,0.10%,-40.67%,90.00%,0.18%,5.40%,4.40,5.80%,14.70%,11.60%,0.60,0.60,0.66,0.69,18.40%,10.20%,6.10%,-0.41%,-1.22%,-1.22%,-24.14%,-39.04%,2.54%,-,0.39,2.24%,3.48%,-1.41%,-3.69%,-17.96%,-12.64%,5.68%,-45.86%,5.68%,45.24,-1.63%,0.82%,2.60,447.21K,0.44,12.10,-0.82%,"195,355",Jan 31/a
758,BOKF,BOK Financial Corporation,Financial,Regional - Southwest  Banks,USA,6.34B,20.55,16.25,2.57,6.80,1.82,1.49,-,1.84%,36.90%,4.77,-16.30%,12.17%,-3.30%,8.00%,0.40%,16.20%,22.00%,64.78M,24.93M,0.70%,-0.78%,33.20%,-0.01%,2.58%,5.61,0.90%,9.10%,16.60%,-,-,0.05,0.05,-,87.80%,33.10%,1.59%,4.84%,8.99%,11.39%,17.53%,6.08%,1.00,1.94,2.06%,1.86%,4.04%,8.74%,14.80%,-0.03%,20.60%,-0.03%,33.35%,73.50,3.73%,-3.00%,2.70,114.76K,1.96,97.93,0.62%,"224,521",Jan 24/b
759,BOLD,"Audentes Therapeutics, Inc.",Healthcare,Biotechnology,USA,1.06B,-,-,-,-,5.74,6.81,-,-,-,-3.48,-344.10%,-4.60%,-,-2.10%,-,5.90%,-,29.97M,28.97M,1.40%,-65.67%,92.90%,0.08%,3.09%,3.08,-52.40%,-61.20%,-,12.00,12.00,0.02,0.02,-,-,-,-5.97%,14.50%,40.99%,60.45%,134.83%,13.47%,-,2.18,5.02%,6.90%,0.95%,14.60%,54.74%,-15.17%,44.68%,-15.17%,155.15%,53.55,-4.42%,-0.40%,1.80,290.87K,2.16,35.46,-4.81%,"629,194",Feb 13/a
760,BOM,DB Base Metals Double Short ETN,Financial,Exchange Traded Fund,USA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.31,-,-,-,-,-,-,-,-,-,-,-6.74%,-23.11%,-40.34%,-67.71%,-65.81%,-6.74%,-,0.74,8.54%,6.33%,-12.91%,-36.43%,-61.97%,-64.87%,36.22%,-64.87%,36.22%,36.83,0.00%,0.00%,-,0.63K,0.83,6.92,0.00%,0,-
761,BOND,PIMCO Active Bond ETF,Financial,Exchange Traded Fund,USA,-,-,-,-,-,-,-,-,2.86%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.23,-,-,-,-,-,-,-,-,-,-,-0.33%,-0.64%,-1.00%,-0.98%,0.54%,-0.75%,-,0.24,0.18%,0.20%,-0.50%,-0.80%,-1.00%,-1.38%,0.16%,-2.27%,1.30%,33.20,-0.02%,-0.09%,-,108.83K,1.00,105.20,-0.11%,"108,820",-
762,BONT,"The Bon-Ton Stores, Inc.",Services,Department Stores,USA,3.16M,-,-,-,0.00,-,-,-,-,-,-3.86,-0.40%,-,-13.43%,-,-,-,-5.90%,18.57M,10.72M,40.36%,0.00%,19.45%,-,20.79%,0.95,-,-,-,-,-,-,-,-,-,-,-14.87%,-51.70%,-48.48%,-73.44%,-86.92%,-50.31%,-,0.03,16.01%,14.54%,-42.54%,-53.42%,-67.63%,-71.66%,6.25%,-87.68%,6.25%,21.44,-4.28%,4.35%,3.00,2.34M,0.02,0.17,-0.12%,"36,552",Nov 16/b
763,BOOM,DMC Global Inc.,Industrial Goods,Metal Fabrication,USA,351.62M,-,24.42,-,1.97,3.28,39.51,-,0.33%,-,-1.33,73.20%,323.40%,-20.00%,20.00%,-5.40%,-343.10%,42.60%,14.47M,14.01M,3.00%,-7.14%,87.70%,0.07%,1.65%,3.27,-12.00%,-17.80%,-4.70%,2.80,1.80,0.21,0.21,28.80%,-8.40%,-11.20%,-1.62%,11.21%,35.38%,81.34%,52.35%,-2.99%,0.77,1.05,3.43%,4.37%,-0.02%,7.54%,46.25%,-7.07%,30.93%,-7.07%,109.48%,54.19,-1.42%,0.82%,2.50,70.57K,1.82,24.30,-0.61%,"128,311",Feb 01/a
764,BOOT,"Boot Barn Holdings, Inc.",Services,Apparel Stores,USA,446.32M,31.49,18.18,3.15,0.69,2.52,47.48,41.71,-,0.00%,0.55,44.00%,30.07%,35.80%,10.00%,30.10%,128.70%,6.80%,25.68M,13.03M,0.90%,-96.75%,-,0.60%,37.10%,7.89,2.60%,8.30%,7.00%,1.30,0.20,1.04,1.35,30.40%,6.10%,2.30%,-3.44%,5.65%,111.18%,175.00%,51.39%,4.64%,-,0.82,4.30%,4.55%,-2.35%,10.69%,71.16%,-11.60%,57.84%,-11.60%,194.58%,51.72,-5.44%,0.77%,3.00,612.43K,1.52,17.38,-4.71%,"931,145",Jan 31/a
765,BORN,China New Borun Corporation,Consumer Goods,Beverages - Brewers,China,39.36M,3.21,-,-,0.12,0.13,0.18,-,-,0.00%,0.48,-50.60%,-,-27.30%,-,-4.50%,-84.20%,-24.10%,25.73M,25.73M,77.70%,0.00%,2.70%,-,1.81%,4.16,2.40%,4.10%,3.50%,2.40,2.00,0.15,0.59,10.70%,8.00%,3.90%,3.38%,22.40%,12.50%,15.04%,15.91%,21.85%,1.39,0.06,2.28%,4.76%,10.97%,16.81%,18.56%,-2.55%,28.57%,-12.07%,57.73%,73.27,0.66%,0.66%,-,111.79K,0.89,1.53,1.32%,"99,873",Feb 20/a
766,BOSC,B.O.S Better Online Solutions Ltd.,Technology,Communication Equipment,Israel,7.05M,9.86,-,-,0.25,0.73,4.15,-,-,0.00%,0.22,-18.10%,-,15.20%,-,-3.90%,153.10%,14.30%,3.22M,2.79M,24.20%,0.00%,0.20%,-,2.08%,0.40,3.40%,7.20%,5.90%,1.80,1.50,0.27,0.31,21.00%,3.60%,2.40%,-1.80%,-2.67%,18.66%,10.61%,-1.35%,0.00%,0.69,0.14,3.57%,5.64%,-1.16%,0.20%,10.86%,-26.26%,23.73%,-26.26%,43.14%,48.77,0.17%,-3.04%,-,146.00K,0.19,2.19,-2.87%,"27,405",Mar 01
767,BOSS,Global X Founder-Run Companies ETF,Financial,Exchange Traded Fund,USA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.85%,8.55%,14.69%,15.60%,-,8.49%,-,0.15,0.22%,0.33%,6.20%,8.05%,16.30%,1.88%,13.66%,1.88%,28.90%,80.91,0.00%,1.88%,-,0.93K,0.56,18.79,1.88%,520,-
